iter	Passed	Remaining
0	147	147056
1	240	119834
2	333	110765
3	425	106040
4	519	103426
5	614	101726
6	707	100420
7	801	99407
8	924	101761
9	1035	102537
10	1135	102063
11	1232	101443
12	1328	100887
13	1427	100521
14	1523	100032
15	1619	99616
16	1715	99202
17	1847	100794
18	1943	100325
19	2040	99981
20	2135	99563
21	2231	99201
22	2328	98927
23	2425	98646
24	2521	98340
25	2617	98054
26	2713	97772
27	2808	97488
28	2904	97261
29	3001	97058
30	3100	96902
31	3197	96722
32	3292	96470
33	3389	96289
34	3485	96088
35	3582	95919
36	3676	95679
37	3774	95547
38	3871	95392
39	3966	95202
40	4064	95076
41	4161	94921
42	4256	94723
43	4350	94523
44	4445	94352
45	4541	94196
46	4638	94052
47	4732	93866
48	4831	93779
49	4926	93598
50	5023	93469
51	5126	93451
52	5223	93326
53	5321	93230
54	5423	93180
55	5518	93033
56	5619	92960
57	5718	92877
58	5816	92774
59	5915	92670
60	6010	92522
61	6106	92392
62	6202	92254
63	6298	92112
64	6395	92002
65	6497	91947
66	6611	92067
67	6709	91961
68	6804	91815
69	6900	91677
70	6998	91573
71	7096	91464
72	7197	91395
73	7296	91302
74	7408	91374
75	7510	91315
76	7610	91229
77	7734	91422
78	7836	91359
79	7942	91335
80	8052	91361
81	8166	91420
82	8279	91468
83	8394	91543
84	8509	91602
85	8616	91572
86	8719	91504
87	8820	91413
88	8929	91401
89	9043	91442
90	9151	91414
91	9253	91328
92	9354	91236
93	9470	91276
94	9571	91182
95	9682	91176
96	9791	91149
97	9907	91189
98	10010	91104
99	10114	91029
100	10219	90966
101	10329	90936
102	10431	90845
103	10529	90714
104	10635	90657
105	10744	90622
106	10845	90514
107	10947	90417
108	11063	90437
109	11185	90503
110	11301	90515
111	11406	90436
112	11516	90402
113	11628	90372
114	11748	90409
115	11856	90358
116	11967	90318
117	12080	90294
118	12182	90192
119	12294	90157
120	12399	90072
121	12503	89987
122	12603	89866
123	12713	89815
124	12820	89740
125	12922	89637
126	13027	89552
127	13135	89487
128	13248	89452
129	13352	89360
130	13469	89352
131	13586	89341
132	13692	89261
133	13802	89198
134	13917	89174
135	14026	89107
136	14131	89019
137	14242	88963
138	14346	88865
139	14457	88812
140	14570	88765
141	14677	88688
142	14781	88585
143	14880	88455
144	14981	88338
145	15086	88244
146	15198	88193
147	15306	88116
148	15409	88010
149	15517	87932
150	15628	87872
151	15738	87804
152	15850	87749
153	15957	87663
