,0
0,fBodyGyro-mean()-X
1,tBodyAccJerk-iqr()-X
2,tBodyAccJerk-entropy()-Z
3,tBodyAccJerk-entropy()-X
4,tBodyAccJerk-energy()-Z
5,tBodyAccJerk-energy()-Y
6,tBodyAccJerk-energy()-X
7,"tBodyAccJerk-correlation()-Y,Z"
8,"tBodyAccJerk-correlation()-X,Z"
9,"tBodyAccJerk-arCoeff()-Z,4"
10,"tBodyAccJerk-arCoeff()-Z,3"
11,"tBodyAccJerk-arCoeff()-Z,2"
12,"tBodyAccJerk-arCoeff()-Z,1"
13,"tBodyAccJerk-arCoeff()-Y,4"
14,"tBodyAccJerk-arCoeff()-Y,3"
15,"tBodyAccJerk-arCoeff()-Y,2"
16,"tBodyAccJerk-arCoeff()-Y,1"
17,"tBodyAccJerk-arCoeff()-X,4"
18,"tBodyAccJerk-arCoeff()-X,3"
19,"tBodyAccJerk-arCoeff()-X,2"
20,"tBodyAccJerk-arCoeff()-X,1"
21,tBodyAcc-std()-Z
22,tBodyAcc-std()-Y
23,tBodyAcc-sma()
24,tBodyAcc-min()-Z
25,tBodyAcc-min()-Y
26,tBodyAcc-min()-X
27,tBodyAcc-mean()-Z
28,tBodyAccJerk-iqr()-Y
29,tBodyAcc-mean()-Y
30,tBodyAccJerk-iqr()-Z
31,tBodyAccJerk-max()-Y
32,tBodyAccMag-mean()
33,tBodyAccMag-max()
34,tBodyAccMag-entropy()
35,tBodyAccMag-energy()
36,tBodyAccMag-arCoeff()4
37,tBodyAccMag-arCoeff()3
38,tBodyAccMag-arCoeff()2
39,tBodyAccJerkMag-std()
40,tBodyAccJerkMag-sma()
41,tBodyAccJerkMag-mean()
42,tBodyAccJerkMag-max()
43,tBodyAccJerkMag-entropy()
44,tBodyAccJerkMag-energy()
45,tBodyAccJerkMag-arCoeff()4
46,tBodyAccJerkMag-arCoeff()3
47,tBodyAccJerkMag-arCoeff()2
48,tBodyAccJerkMag-arCoeff()1
49,tBodyAccJerk-std()-Y
50,tBodyAccJerk-std()-X
51,tBodyAccJerk-sma()
52,tBodyAccJerk-min()-Z
53,tBodyAccJerk-min()-Y
54,tBodyAccJerk-min()-X
55,tBodyAccJerk-mean()-Z
56,tBodyAccJerk-mean()-Y
57,tBodyAccJerk-mean()-X
58,tBodyAccJerk-max()-Z
59,tBodyAccJerk-mad()-X
60,tBodyAcc-mean()-X
61,tBodyAcc-max()-Z
62,tBodyAcc-mad()-X
63,fBodyGyro-mean()-Z
64,fBodyGyro-mean()-Y
65,fBodyGyro-max()-Z
66,fBodyGyro-max()-Y
67,fBodyGyro-mad()-Z
68,fBodyGyro-mad()-Y
69,fBodyGyro-mad()-X
70,fBodyGyro-kurtosis()-Z
71,fBodyGyro-kurtosis()-Y
72,fBodyGyro-iqr()-Z
73,fBodyGyro-iqr()-Y
74,fBodyGyro-iqr()-X
75,fBodyGyro-entropy()-Z
76,fBodyGyro-entropy()-Y
77,fBodyGyro-entropy()-X
78,fBodyGyro-energy()-Z
79,"fBodyGyro-bandsEnergy()-9,16.2"
80,"fBodyGyro-bandsEnergy()-9,16.1"
81,"fBodyGyro-bandsEnergy()-9,16"
82,"fBodyGyro-bandsEnergy()-57,64.2"
83,"fBodyGyro-bandsEnergy()-57,64.1"
84,"fBodyGyro-bandsEnergy()-57,64"
85,"fBodyGyro-bandsEnergy()-49,64.2"
86,"fBodyGyro-bandsEnergy()-49,64.1"
87,"fBodyGyro-bandsEnergy()-49,64"
88,"fBodyGyro-bandsEnergy()-49,56.2"
89,"fBodyGyro-bandsEnergy()-49,56.1"
90,fBodyGyro-meanFreq()-Y
91,fBodyGyro-meanFreq()-Z
92,fBodyGyro-min()-X
93,fBodyGyro-min()-Y
94,tBodyAcc-iqr()-Z
95,tBodyAcc-iqr()-Y
96,tBodyAcc-iqr()-X
97,tBodyAcc-entropy()-Z
98,tBodyAcc-entropy()-Y
99,tBodyAcc-energy()-Z
100,tBodyAcc-energy()-Y
101,tBodyAcc-energy()-X
102,"tBodyAcc-correlation()-X,Z"
103,"tBodyAcc-arCoeff()-Z,4"
104,"tBodyAcc-arCoeff()-Z,3"
105,"tBodyAcc-arCoeff()-Z,2"
106,"tBodyAcc-arCoeff()-Z,1"
107,tBodyAccMag-min()
108,"tBodyAcc-arCoeff()-Y,4"
109,"tBodyAcc-arCoeff()-Y,2"
110,"tBodyAcc-arCoeff()-Y,1"
111,"tBodyAcc-arCoeff()-X,4"
112,"tBodyAcc-arCoeff()-X,3"
113,"tBodyAcc-arCoeff()-X,2"
114,"tBodyAcc-arCoeff()-X,1"
115,shadow-gravity-angle()
116,fBodyGyro-std()-Z
117,fBodyGyro-std()-Y
118,fBodyGyro-sma()
119,fBodyGyro-skewness()-Z
120,fBodyGyro-skewness()-X
121,fBodyGyro-min()-Z
122,"tBodyAcc-arCoeff()-Y,3"
123,"fBodyGyro-bandsEnergy()-49,56"
124,tBodyAccMag-sma()
125,"tBodyGyro-arCoeff()-X,2"
126,tBodyGyroMag-std()
127,tBodyGyroMag-sma()
128,tBodyGyroMag-min()
129,tBodyGyroMag-mean()
130,tBodyGyroMag-max()
131,tBodyGyroMag-mad()
132,tBodyGyroMag-iqr()
133,tBodyGyroMag-entropy()
134,tBodyGyroMag-energy()
135,tBodyGyroMag-arCoeff()4
136,tBodyGyroMag-arCoeff()3
137,tBodyGyroMag-arCoeff()2
138,tBodyGyroMag-arCoeff()1
139,tBodyGyroJerkMag-std()
140,tBodyGyroJerkMag-min()
141,tBodyGyroJerkMag-mean()
142,tBodyGyroJerkMag-max()
143,tBodyGyroJerkMag-mad()
144,tBodyGyroJerkMag-iqr()
145,tBodyGyroJerkMag-entropy()
146,tBodyGyroJerkMag-energy()
147,tBodyGyroJerkMag-arCoeff()4
148,tBodyGyroJerkMag-arCoeff()3
149,tBodyGyroJerkMag-arCoeff()2
150,tBodyGyroJerkMag-arCoeff()1
151,tBodyGyroJerk-std()-Z
152,tBodyGyroJerk-std()-Y
153,"tGravityAcc-arCoeff()-X,1"
154,tBodyGyroJerk-std()-X
155,"tGravityAcc-arCoeff()-X,2"
156,"tGravityAcc-arCoeff()-X,4"
157,tGravityAccMag-sma()
158,tGravityAccMag-min()
159,tGravityAccMag-mean()
160,tGravityAccMag-max()
161,tGravityAccMag-mad()
162,tGravityAccMag-iqr()
163,tGravityAccMag-entropy()
164,tGravityAccMag-energy()
165,tGravityAccMag-arCoeff()4
166,tGravityAccMag-arCoeff()3
167,tGravityAccMag-arCoeff()2
168,tGravityAcc-std()-Z
169,tGravityAcc-std()-Y
170,tGravityAcc-std()-X
171,tGravityAcc-mad()-Z
172,tGravityAcc-mad()-Y
173,tGravityAcc-mad()-X
174,tGravityAcc-iqr()-Z
175,tGravityAcc-iqr()-Y
176,tGravityAcc-iqr()-X
177,tGravityAcc-entropy()-Z
178,tGravityAcc-entropy()-Y
179,tGravityAcc-entropy()-X
180,"tGravityAcc-correlation()-Y,Z"
181,"tGravityAcc-correlation()-X,Z"
182,"tGravityAcc-correlation()-X,Y"
183,"tGravityAcc-arCoeff()-Y,4"
184,"tGravityAcc-arCoeff()-X,3"
185,tBodyGyroJerk-sma()
186,tBodyGyroJerk-min()-Z
187,tBodyGyroJerk-min()-X
188,tBodyGyro-mean()-Y
189,tBodyGyro-max()-Y
190,tBodyGyro-mad()-Z
191,tBodyGyro-mad()-Y
192,tBodyGyro-mad()-X
193,tBodyGyro-low()-Z
194,tBodyGyro-low()-Y
195,tBodyGyro-low()-X
196,tBodyGyro-iqr()-Z
197,tBodyGyro-iqr()-Y
198,tBodyGyro-entropy()-Z
199,tBodyGyro-entropy()-Y
200,tBodyGyro-entropy()-X
201,tBodyGyro-energy()-Z
202,tBodyGyro-energy()-Y
203,"tBodyGyro-correlation()-X,Z"
204,"tBodyGyro-correlation()-X,Y"
205,"tBodyGyro-arCoeff()-Z,4"
206,"tBodyGyro-arCoeff()-Z,3"
207,"tBodyGyro-arCoeff()-Z,2"
208,"tBodyGyro-arCoeff()-Z,1"
209,"tBodyGyro-arCoeff()-Y,4"
210,"tBodyGyro-arCoeff()-Y,3"
211,"tBodyGyro-arCoeff()-Y,2"
212,"tBodyGyro-arCoeff()-Y,1"
213,"tBodyGyro-arCoeff()-X,4"
214,"tBodyGyro-arCoeff()-X,3"
215,tBodyGyro-mean()-Z
216,tBodyGyro-min()-Y
217,tBodyGyro-min()-Z
218,tBodyGyro-sma()
219,tBodyGyroJerk-mean()-Z
220,tBodyGyroJerk-mean()-Y
221,tBodyGyroJerk-mean()-X
222,tBodyGyroJerk-max()-Z
223,tBodyGyroJerk-max()-Y
224,tBodyGyroJerk-mad()-Z
225,tBodyGyroJerk-mad()-Y
226,tBodyGyroJerk-mad()-X
227,tBodyGyroJerk-iqr()-Z
228,tBodyGyroJerk-entropy()-Z
229,tBodyGyroJerk-entropy()-Y
230,tBodyGyroJerk-entropy()-X
231,tBodyGyroJerk-energy()-Z
232,"tBodyGyro-arCoeff()-X,1"
233,"tBodyGyroJerk-correlation()-Y,Z"
234,"tBodyGyroJerk-correlation()-X,Y"
235,"tBodyGyroJerk-arCoeff()-Z,4"
236,"tBodyGyroJerk-arCoeff()-Z,3"
237,"tBodyGyroJerk-arCoeff()-Z,2"
238,"tBodyGyroJerk-arCoeff()-Z,1"
239,"tBodyGyroJerk-arCoeff()-Y,4"
240,"tBodyGyroJerk-arCoeff()-Y,3"
241,"tBodyGyroJerk-arCoeff()-Y,2"
242,"tBodyGyroJerk-arCoeff()-Y,1"
243,"tBodyGyroJerk-arCoeff()-X,4"
244,"tBodyGyroJerk-arCoeff()-X,2"
245,"tBodyGyroJerk-arCoeff()-X,1"
246,tBodyGyro-std()-X
247,"tBodyGyroJerk-correlation()-X,Z"
248,"fBodyGyro-bandsEnergy()-41,48.2"
249,void()
250,"fBodyGyro-bandsEnergy()-41,48"
251,"fBodyAccJerk-bandsEnergy()-25,48.1"
252,"fBodyAccJerk-bandsEnergy()-25,48"
253,"fBodyAccJerk-bandsEnergy()-25,32.2"
254,"fBodyAccJerk-bandsEnergy()-17,32"
255,"fBodyAccJerk-bandsEnergy()-17,24.2"
256,"fBodyAccJerk-bandsEnergy()-17,24.1"
257,"fBodyAccJerk-bandsEnergy()-17,24"
258,"fBodyAccJerk-bandsEnergy()-1,8.1"
259,"fBodyAccJerk-bandsEnergy()-1,8"
260,"fBodyAccJerk-bandsEnergy()-1,24.1"
261,"fBodyAccJerk-bandsEnergy()-1,24"
262,"fBodyAccJerk-bandsEnergy()-1,16.2"
263,"fBodyAccJerk-bandsEnergy()-25,48.2"
264,"fBodyAccJerk-bandsEnergy()-1,16.1"
265,fBodyAcc-std()-Z
266,fBodyAcc-std()-Y
267,fBodyAcc-std()-X
268,fBodyAcc-sma()
269,fBodyAcc-skewness()-Z
270,fBodyAcc-skewness()-Y
271,fBodyAcc-skewness()-X
272,fBodyAcc-min()-Z
273,fBodyAcc-min()-Y
274,fBodyAcc-min()-X
275,fBodyAcc-meanFreq()-Y
276,fBodyAcc-meanFreq()-X
277,"fBodyAccJerk-bandsEnergy()-1,16"
278,fBodyAcc-mean()-Z
279,"fBodyAccJerk-bandsEnergy()-33,40"
280,"fBodyAccJerk-bandsEnergy()-33,40.2"
281,fBodyAccJerk-max()-X
282,fBodyAccJerk-mad()-Y
283,fBodyAccJerk-mad()-X
284,fBodyAccJerk-kurtosis()-Z
285,fBodyAccJerk-kurtosis()-Y
286,fBodyAccJerk-kurtosis()-X
287,fBodyAccJerk-iqr()-Z
288,fBodyAccJerk-iqr()-X
289,fBodyAccJerk-entropy()-X
290,fBodyAccJerk-energy()-Z
291,fBodyAccJerk-energy()-Y
292,"fBodyAccJerk-bandsEnergy()-9,16.2"
293,"fBodyAccJerk-bandsEnergy()-33,40.1"
294,"fBodyAccJerk-bandsEnergy()-9,16.1"
295,"fBodyAccJerk-bandsEnergy()-57,64.1"
296,"fBodyAccJerk-bandsEnergy()-57,64"
297,"fBodyAccJerk-bandsEnergy()-49,64.1"
298,"fBodyAccJerk-bandsEnergy()-49,64"
299,"fBodyAccJerk-bandsEnergy()-49,56.2"
300,"fBodyGyro-bandsEnergy()-41,48.1"
301,"fBodyAccJerk-bandsEnergy()-41,48.2"
302,"fBodyAccJerk-bandsEnergy()-41,48.1"
303,"fBodyAccJerk-bandsEnergy()-41,48"
304,"fBodyAccJerk-bandsEnergy()-33,48.2"
305,"fBodyAccJerk-bandsEnergy()-33,48.1"
306,"fBodyAccJerk-bandsEnergy()-33,48"
307,"fBodyAccJerk-bandsEnergy()-9,16"
308,fBodyAcc-mean()-X
309,fBodyAcc-maxInds-Z
310,fBodyAcc-maxInds-X
311,"fBodyAcc-bandsEnergy()-33,48"
312,"fBodyAcc-bandsEnergy()-33,40.2"
313,"fBodyAcc-bandsEnergy()-33,40.1"
314,"fBodyAcc-bandsEnergy()-33,40"
315,"fBodyAcc-bandsEnergy()-25,48.2"
316,"fBodyAcc-bandsEnergy()-25,48.1"
317,"fBodyAcc-bandsEnergy()-25,48"
318,"fBodyAcc-bandsEnergy()-25,32.2"
319,"fBodyAcc-bandsEnergy()-25,32.1"
320,"fBodyAcc-bandsEnergy()-17,32.2"
321,"fBodyAcc-bandsEnergy()-17,32.1"
322,"fBodyAcc-bandsEnergy()-17,32"
323,"fBodyAcc-bandsEnergy()-33,48.1"
324,"fBodyAcc-bandsEnergy()-17,24.2"
325,"fBodyAcc-bandsEnergy()-17,24"
326,"fBodyAcc-bandsEnergy()-1,8.1"
327,"fBodyAcc-bandsEnergy()-1,24.2"
328,"fBodyAcc-bandsEnergy()-1,24.1"
329,"fBodyAcc-bandsEnergy()-1,24"
330,"fBodyAcc-bandsEnergy()-1,16.2"
331,"fBodyAcc-bandsEnergy()-1,16.1"
332,energy-mean()
333,"angle(tBodyGyroMean,gravityMean)"
334,"angle(tBodyGyroJerkMean,gravityMean)"
335,"angle(tBodyAccMean,gravity)"
336,"angle(tBodyAccJerkMean),gravityMean)"
337,"fBodyAcc-bandsEnergy()-17,24.1"
338,"fBodyAcc-bandsEnergy()-33,48.2"
